qid;pageid;title;question;current_time;outdated_info_dates;answer;outdated_answer
314;67241648;Gastón Colmán;Which Uruguayan club does Heber Gastón Colmán Leguisamo play for as a forward?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;Progreso;Tacuarembó
315;111253;Bentley, Illinois;What is the population of Bentley, Illinois?;2024-07-01T00:00:00Z;2024-06-01T00:00:00Z;30;35
316;2580971;Pagewood, New South Wales;What percentage of people in Pagewood identified as Catholic and Anglican?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;Catholic 31.6%, Anglican 7.6%;Catholic 33.3%, Anglican 10.7%
317;3626555;Jönköping University;What is Jönköping University's ranking in the Young University Rankings by Times Higher Education?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;168th;201–250
318;76346051;List of Russians killed fighting for the Ukrainian side during the Russian invasion of Ukraine;How many servicemen are listed as killed among the Armed Forces of Ukraine, and Russian separatist formations embedded with Ukraine?;2024-12-01T00:00:00Z;"2024-08-01T00:00:00Z;2024-09-01T00:00:00Z;2024-11-01T00:00:00Z";35;"31;32;33"
319;5605867;Tri-County Regional Airport;What is the time period for which Tri-County Regional Airport is included in the Federal Aviation Administration (FAA) National Plan of Integrated Airport Systems?;2024-12-01T00:00:00Z;2024-11-01T00:00:00Z;2025–2029;2021–2025
320;5392009;Circular Quay ferry wharf;Which Sydney Trains lines serve the Circular Quay railway station?;2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;T2 Leppington & Inner West Line, T3 Liverpool & Inner West Line, T8 Airport & South Line;Airport & South Line, Inner West & Leppington Line, Bankstown Line
321;4747528;Catholic Church in Namibia;How many Catholics were there in Namibia?;2024-10-01T00:00:00Z;"2024-07-01T00:00:00Z;2024-08-01T00:00:00Z";693,000;"480,000;604,000"
322;52546858;Mark McKenzie (soccer, born 1999);What club does Mark Alexander McKenzie play for?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;Toulouse;Genk
323;257236;Tillamook County Creamery Association;What is Tillamook's ranking as the largest dairy processor in North America?;2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;44th;48th
324;11522384;Shelbourne Hotel;Who is the current owner of the Shelbourne Hotel?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;Archer Hotel Capital;Kennedy Wilson
325;68268190;Shy (manga);"How many volumes of the manga ""Shy"" have been released?";2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;26;25
326;73794411;Margherita Della Valle;Where was Margherita Della Valle born?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;Veneto;Rome
327;9321715;Derrick Comedy;How many subscribers does Derrick Comedy's YouTube channel have?;2024-12-01T00:00:00Z;2024-11-01T00:00:00Z;over 240,000;over 200,000
328;2893422;Nu Aurigae;How many times the radius of the Sun has the outer envelope of Nu Aurigae expanded to?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;18;19
329;31823905;1981 Gilbey's Gin season;What was the name of the team in its third season in the Philippine Basketball Association (PBA)?;2024-07-01T00:00:00Z;2024-06-01T00:00:00Z;St. George Whiskies;Gilbey's Gin
330;5191394;Operation Midnight Climax;What is the 2024 value of the reduced settlement amount the Olson family accepted from the government?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;$8.8 million;$4.3 million
331;14024857;Giltbrook;Who represents Giltbrook in the House of Commons?;2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;Labour MP Juliet Campbell;Conservative MP Darren Henry
332;558959;Railway electrification;In what year was the Gross-Lichterfelde Tramway in Berlin, Germany, first electrified?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;1881;1895
333;1301049;James Ruse Agricultural High School;How many consecutive years did James Ruse Agricultural High School rank 1st out of all New South Wales high schools in the Higher School Certificate?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;27 years;32 years
334;1348559;Benny Boom;Who represents Benny Douglas for television and film?;2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;Paradigm Talent Agency;ICM Partners
335;72875051;Mohamed Dhaoui;Which club does Mohamed Dhaoui play for in the domestic league?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;CS Sfaxien;Al Ahly
336;8522987;Mohammed Dewji;Who manages Mohammed Dewji's wealth along with Zaoui & Co.?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;Mohammed Abrar Asif of HFPCG;Mohammed Abrar Asif of Ischyros New York
337;61916446;Abu Salim Mayanja;Where did Abu Salim Mayanja achieve his personal best time of 3:39.55/3:34.51 minutes in the 1500 metres?;2024-07-01T00:00:00Z;2024-06-01T00:00:00Z;Poznan;Kampala
338;38537526;Bellview Winery;How many acres of grapes does Bellview have under cultivation?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;50 acres;40 acres
339;15997328;Austria–Germany relations;In what year was Austria separated from the German Duchy of Bavaria?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;1156;972
340;32493586;Tan Teʼ Kʼinich;Which Aguateca Stela records a battle fought by Tan Teʼ Kʼinich and also mentions his father?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;Aguateca Stela 19;Aguateca Stela 91
341;4592102;Tank District;What percentage of the population in Tank district lives in urban areas?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;10.46%;11.02%
342;46347237;Carolina Mudcats;What is the win-loss record of the Mudcats as a Brewers farm club?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;490–432;412–381
343;111267;Cave-In-Rock, Illinois;What percentage of Cave-In-Rock's total area is water?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;9.88%;12.32%
344;50064051;Kawasaki KX450F;What version of the KLX has added conveniences for trail riding, green laning, enduro events, and lower speed riding?;2024-12-01T00:00:00Z;2024-11-01T00:00:00Z;KLX450R;KLX4449R
345;4115544;List of extinct languages of Asia;How many extinct languages of East Asia are listed?;2024-12-01T00:00:00Z;"2024-06-01T00:00:00Z;2024-07-01T00:00:00Z;2024-08-01T00:00:00Z;2024-09-01T00:00:00Z;2024-10-01T00:00:00Z;2024-11-01T00:00:00Z";41;"25;26;28;27;33;35"
346;73556699;Sudanese civil war (2023–present);How many internally displaced persons (IDPs) and people who fled the country altogether are estimated by the United Nations?;2024-08-01T00:00:00Z;"2024-06-01T00:00:00Z;2024-07-01T00:00:00Z";More than 7.7 million IDPs, more than 2.1 million fled;"More than 7.1 million IDPs, more than two million fled;More than 7.2 million IDPs, more than 2.1 million fled"
347;2604299;Himachal Pradesh High Court;Who is the chief justice of the Himachal Pradesh High Court?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;Justice Rajiv Shakdher;Justice M. S. Ramachandra Rao
348;16938283;Kauri, New Zealand;What percentage of people at least 15 years old had a bachelor's or higher degree?;2024-12-01T00:00:00Z;2024-11-01T00:00:00Z;14.9%;18.2%
349;4142171;Barakaldo CF;What type of football team is Barakaldo Club de Fútbol?;2024-12-01T00:00:00Z;2024-11-01T00:00:00Z;Basque;Spanish
350;77407703;Smallfolk;"What is the approval rating of ""Smallfolk"" on Rotten Tomatoes?";2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;89%;93%
351;23997705;Greece's Next Top Model;How many seasons of Greece's Next Top Model did Vicky Kaya participate in before not returning for the next season?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;3;5
352;13000486;Frank Ryan (cricketer);In which year's County Championship did Ryan play a leading-role in Glamorgan's innings victory over Nottinghamshire in their final match?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;1927;1928
353;3096798;Niklas Tarvajärvi;What youth academy team does Niilo Tarvajärvi play for at Ajax?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;Ajax U16;Ajax U15
354;19192340;Beta Circini;What is the approximate size of Beta Circini in relation to the Sun's radius?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;1.9 times the Sun's radius;1.3 times the Sun's radius
355;1024346;Corsham;How many pupils did The Corsham School have?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;1,264;1,243
356;55785513;Francis Mac Allister;Which team does Francis Manuel Mac Allister play for as a midfielder?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;Argentinos Juniors;Rosario Central
357;30876050;Indian Institutes of Information Technology;How many interdisciplinary technology-based-engineering research institutions are there in the group of Indian Institutes of Information Technology in India?;2024-07-01T00:00:00Z;2024-06-01T00:00:00Z;26;25
358;65622496;Kevin Lambert;"Which novel by Kevin Lambert was published around the same time as the English translation ""May Our Joy Endure""?";2024-12-01T00:00:00Z;2024-11-01T00:00:00Z;"Lambert's fourth novel ""Les Sentiers de neige""";"Lambert's third novel ""Les Sentiers de neige"""
359;4108114;Roxanne McKee;What is Roxanne McKee's nationality?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;Canadian-born British;British
360;1497398;2005 Liberian general election;In what year was the Accra Comprehensive Peace Agreement stipulated, which led to the end of the political transition following the second civil war?;2024-07-01T00:00:00Z;2024-06-01T00:00:00Z;2003;2004
361;41774898;Daniel M. Fleetwood;How many times have Daniel M. Fleetwood's papers been cited?;2024-12-01T00:00:00Z;2024-11-01T00:00:00Z;More than 30,000 times;More than 26000 times
362;39369330;Weronika Rosati;What is the title of Weronika Rosati's 2012 film that earned her a Polish Film Award nomination for Best Actress?;2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;"""Manhunt""";"""Obława"""
363;25135615;Daniil Kvyat;Which team did Daniil Kvyat sign with to compete in the World Endurance Championship?;2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;Lamborghini, but in a different year and context;Lamborghini
364;15412943;Deen Dayal Upadhyaya College;What is the ranking of Deen Dayal Upadhyaya College among colleges in India by the National Institutional Ranking Framework?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;26;21
365;26035305;Netaji Express;In what year did the East Indian Railway Company inaugurate a train service to facilitate the annual migration of British officials between Calcutta and Shimla?;2024-12-01T00:00:00Z;2024-11-01T00:00:00Z;1866;1855
366;1752690;Grays Point, New South Wales;What percentage of occupied dwellings in Grays Point have 4 or more bedrooms?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;62.1%;59.0%
367;65296696;Jon Morcillo;Which team does Jon Morcillo Conesa play for?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;Albacete Balompié;SD Amorebieta
368;2560025;Barden Ridge, New South Wales;What percentage of people spoke only English at home in Barden Ridge?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;86.5%;85.0%
369;2569738;Prickwillow;In which county is the village of Prickwillow located?;2024-12-01T00:00:00Z;2024-11-01T00:00:00Z;Norfolk;East Cambridgeshire
370;35099615;Annalisa;"What certification did the song ""Storie brevi"" receive for sales in Italy?";2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;Double Platinum;Platinum
371;1011896;HCA Healthcare;What is HCA Healthcare's ranking on the Fortune 500 rankings of the largest United States corporations by total revenue?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;#61;#66
372;148206;Paul I of Russia;What type of name did Sophia Dorothea of Württemberg receive after marrying Paul?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;Russian name;Orthodox name
373;41849483;International Central Gospel Church;Where is the headquarters of the International Central Gospel Church located?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;Achimota, Accra Ghana;Abossey Okai, Accra Ghana
374;34587710;List of basilicas in India;How many non-Latin Church basilicas are there in the state of Kerala?;2024-07-01T00:00:00Z;2024-06-01T00:00:00Z;6;5
375;17637619;Hoplitomeryx;What family is the group that Antilocapra is related to?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;Giraffidae;Bovidae
376;63406682;Principles of Economics (Mankiw book);How many editions of the Principles of Economics book are there?;2024-07-01T00:00:00Z;2024-06-01T00:00:00Z;ten;nine
377;6689352;Brawijaya Stadium;What is the seating capacity of Brawijaya Stadium?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;10,000 seats;15,000 seats
378;1955189;Bogdan Lobonț;How many matches did Rapid București lose under Bogdan Lobonț's leadership at the end of the 2023–24 season?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;Four;Eight
379;2415317;Hassan Shehata;What type of African competitions did Hassan Shehata score 6 goals in?;2024-07-01T00:00:00Z;2024-06-01T00:00:00Z;African clubs competitions;African championships
380;48915359;The Wingfeather Saga;What is the projected release year of Season 7 of The Wingfeather Saga?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;2029;2028
381;63769707;Shaun Bradley;What team does Shaun Russell Ellis-Bradley play for?;2024-11-01T00:00:00Z;"2024-09-01T00:00:00Z;2024-10-01T00:00:00Z";Free agent;"No team (free agent);Houston Texans"
382;12552012;Attack on Pearl Harbor (video game);Who developed Attack on Pearl Harbor?;2024-12-01T00:00:00Z;2024-11-01T00:00:00Z;Legendo Entertainment;3DIVISION and Legendo Entertainment
383;76310428;Safarilink Aviation Flight 053;How many flight hours did the Cessna 172M, registered 5Y-NNJ, log in its 48 years of service before the accident?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;around 12,300;12,289.1
384;74312715;Miss Universe Nepal 2023;What event is Asian Paints chosen as the main sponsor of?;2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;Miss Vibhaa 2023;Miss Universe Nepal 2023
385;5983937;Cheryl Murray;Is Cheryl Murray alive or deceased?;2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;deceased;alive
386;71308967;Eva Vedder;How many doubles titles has Eva Vedder won on the ITF Women's Circuit?;2024-11-01T00:00:00Z;"2024-08-01T00:00:00Z;2024-09-01T00:00:00Z";26;"20;23"
387;75350565;Plus-Sized Misadventures in Love!;"How many digital volumes of the manga series ""Plus-Sized Misadventures in Love!"" have been collected?";2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;Nine;Eight
388;72336905;Kadir Seven;Which football team does Kadir Seven play for as a centre-back?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;Çorum;Giresunspor
389;125575;Netcong, New Jersey;What is the student-teacher ratio at Lenape Valley Regional High School?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;11.5:1;11.9:1
390;60799493;Khalil Khamis (footballer, born 1995);Which club does Khalil Georges Khamis play for?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;Safa;Ahed
391;47366326;Solomon Nunes Carvalho;What was the birth year of David Nunes Carvalho, the son of Solomon Nunes Carvalho?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;1848;1845
392;2641038;Curl Curl;What is the median monthly mortgage payment in Curl Curl?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;$3,775;$3,100
393;66374065;Kevin Escoffier;Who did Jean Le Cam find in the life raft?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;Escoffier;Kevin
394;3345477;Arthur Mafokate;Who won the title 'Mr Soweto'?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;Mafokate;Arthur
395;8159825;Vinland Saga (manga);How many volumes of the Vinland Saga manga series have its chapters been collected in?;2024-07-01T00:00:00Z;2024-06-01T00:00:00Z;28;27
396;39081296;Johnathan McKinstry;How many international head coaching roles has Johnathan McKinstry had?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;four;three
397;72511491;Dimas Pamungkas;In which Indonesian football league does Dimas Juliono Pamungkas play for Bhayangkara?;2024-07-01T00:00:00Z;2024-06-01T00:00:00Z;Liga 2;Liga 1
398;15509644;Whangape Harbour;How many people at least 15 years old were unemployed?;2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;12;0
399;3045702;Wellington railway station (Shropshire);What was the original shed code designation of the engine shed at Wellington railway station?;2024-12-01T00:00:00Z;2024-11-01T00:00:00Z;WLN;84H
400;74662709;Loïc Williams;Which team does Loïc Williams Ntambue Kayumba Gironés play for?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;Granada CF;CD Tenerife
401;3578016;Assunta De Rossi;In what year was Assunta De Rossi's Catholic marriage solemnized?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;2004;2014
402;1568152;Cram (game show);Where did the contestants go to commence the actual gameplay of the show?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;Raleigh Studios, in Los Angeles, California;Sony Pictures Studios, in Culver City, California
403;65986125;Vikrant Rona;What was the opening day collection of the Telugu version of the film?;2024-08-01T00:00:00Z;"2024-06-01T00:00:00Z;2024-07-01T00:00:00Z";₹2 crore;"₹5 lakh;₹1 crore"
404;40815774;Naoya Inoue;What is Naoya Inoue's knockout-to-win percentage in world title matches?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;91.30%;90.90%
405;93552;Huntington, West Virginia;How many professional firefighters protect the city of Huntington?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;approximately 100;106
406;70693819;Unicorn Wars;"What is the percentage rating of ""Unicorn Wars"" on Rotten Tomatoes?";2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;80%;84%
407;3563761;Rožaje;How many municipalities are in Montenegro, where Rožaje is the centre of the Rožaje Municipality?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;25;24
408;284697;The Rundown;Who does Travis convince the rebels that Beck works for?;2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;Cornelius;Hatcher
409;74161487;Rosa Schupbach;What years did Rosa Schupbach hold a position as economist at the Caltex Petroleum Corporation?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;1961 to 1967;1962 to 1967
410;34393317;Álex Menéndez;Which Segunda Federación club does Alejandro 'Álex' Menéndez Díez play for as a left-back?;2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;Langreo;Covadonga
411;57330986;Tafalisca;What family does the genus Tafalisca of silent bush crickets belong to?;2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;Oecanthidae;Gryllidae
412;136753;Pattison, Texas;Who is Council Member #3?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;Anissa McGowan;Robert MacCallum
413;951978;Australia national rugby league team;Which match are the jersey numbers based on?;2024-12-01T00:00:00Z;2024-11-01T00:00:00Z;Week 4 Match;Week 2 Match
414;17749064;Alice in Wonderland dress;What color scheme was used in the 1985 Irwin Allen production of Alice in Wonderland?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;Orange;Green
415;13319746;Maharshi Dayanand University;What is Maharshi Dayanand University's ranking among universities?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;35th among state public universities;96th
416;24677468;Lyndon Carlson;At which high school in Minneapolis did Lyndon R. Carlson, Sr. teach for many years?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;Camden High School;Henry High School
417;925736;Turner Classic Movies;"In what year did Ben Mankiewicz begin hosting ""Silent Sunday Nights""?";2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;2013;2012
418;19388938;BX Boötis;How far away is BX Boötis located?;2024-12-01T00:00:00Z;2024-11-01T00:00:00Z;512 light years;302 light years
419;1409532;Arlanda Express;What is the standard price for a one-way ticket on the Arlanda Express?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;SEK 340;SEK 320
420;74635273;Karine Silva;What is Karine Silva's ranking in the UFC women's flyweight division?;2024-12-01T00:00:00Z;2024-11-01T00:00:00Z;#12;#11
421;62132048;Aulia Hidayat;Which Liga 2 club does Aulia Hidayat play for?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;Persiku Kudus;Persekat Tegal
422;6829891;Don Gaetz;Is Donald Jay Gaetz currently a member of the Florida State Senate?;2024-12-01T00:00:00Z;2024-11-01T00:00:00Z;Yes;No
423;69570987;Pollard's Point, Newfoundland and Labrador;Who is the chair of the LSD committee in Pollard's Point?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;Edine Gossett;Collin Davis
424;60909809;Eugene Palmer (criminal);Whose scent did the search dogs follow to a campground in the woods?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;Eugene;Palmer
425;71778003;Benjamin Agarao Jr.;In which city in Laguna did Benjamin Agarao Jr. run for mayor with PDP-Laban?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;Santa Cruz;Santa Rosa
426;52658789;Aleksandar Stojanovski;Which team did Aleksandar Stojanovski play with in his final season in the Macedonian first division?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;Sileks;FK Napredok, FK Makedonija Gjorče Petrov, FK Teteks
427;1237418;Maurice Cheeks;What are Maurice Cheeks' rankings in steals and assists in NBA history?;2024-12-01T00:00:00Z;2024-11-01T00:00:00Z;sixth in steals and sixteenth in assists;sixth in steals and eleventh in assists
428;37249192;Kaukauna High School;How many other Fox Valley schools participate with Kaukauna High in the Fox Valley Association Conference?;2024-07-01T00:00:00Z;2024-06-01T00:00:00Z;10;9
429;6285528;Donkey Kong;"What years did the animated series ""Donkey Kong Country"" air?";2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;1997–2000;1997–1999
430;72614887;My New Life as a Cat;"How many volumes of ""My New Life as a Cat"" manga have been collected?";2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;Thirteen;Twelve
431;1896071;Bumblebee (Transformers);What model year Chevrolet Camaro does Bumblebee transform into to avoid being hunted by the mercenaries of Cemetery Wind?;2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;1967;1977
432;8719021;Dragon Squad;Who is rumoured to have the microfilm, and who is their girlfriend?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;Tiger Duen, and Yu Ching is his girlfriend.;Panther Duen, and Yu Ching is his girlfriend.
433;3791480;Sapotskin;What is the population of Sapotskin?;2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;925;943
434;1813255;Kettering (UK Parliament constituency);In what year was the constituency that included the town of Corby created?;2024-07-01T00:00:00Z;2024-06-01T00:00:00Z;1950;1918
435;1516786;Polytechnic University of Milan;What is the overall world ranking of the Polytechnic University of Milan in the QS World University Rankings?;2024-12-01T00:00:00Z;2024-11-01T00:00:00Z;111th;137th
436;68497631;Michał Kokoszanek;How many appearances did Michał Kokoszanek make for Lech Poznań?;2024-07-01T00:00:00Z;2024-06-01T00:00:00Z;62;52
437;59584963;Nooksack Giant;How many board feet of lumber did the Nooksack tree produce?;2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;96,345;more than 96,000
438;123058;Humansville, Missouri;What is the population of the city of Humansville, Missouri?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;907;965
439;77465103;Jasmine Jasudavicius;What is Jasmine Jasudavicius' ranking in the UFC women's flyweight rankings?;2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;#13;#14
440;846150;Rumford Medal;How many scientists have been granted the Rumford Medal since its inception?;2024-10-01T00:00:00Z;"2024-06-01T00:00:00Z;2024-07-01T00:00:00Z";108 scientists;"104 scientists;107 scientists"
441;26809559;Scientist Supreme;What position does Monica Rappaccini hold in the sequence of individuals to use the Scientist Supreme alias within A.I.M.?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;Fifth;Sixth
442;38271407;Klæmint Olsen;How many goals has Klæmint Olsen scored to become the all-time top scorer in the Faroe Islands Premier League?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;239;230
443;47338695;Tourism in Haryana;What historical event is associated with the Kala Amb site in Panipat district?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;Third battle of Panipat war;Mahabharta war
444;116607;Highfield-Cascade, Maryland;What percentage of the population in the Highfield-Cascade CDP is African American?;2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;1.9%;28.18%
445;3542920;Baltasar Kormákur;What nationality is Baltasar Kormákur's father?;2024-07-01T00:00:00Z;2024-06-01T00:00:00Z;Catalan;Spanish
446;9918146;Lublin Voivodeship (1919–1939);What percentage of the population of Lublin Voivodeship were Poles?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;85.6%;85.1%
447;62196169;Jake Vokins;Which club does Jake Vokins play for?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;Eastleigh;Southampton
448;997939;Kindergarten Cop;In which region was the film initially released?;2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;North America;United States
449;68772650;Shiori Shimizu;Which WE League club does Shiori Shimizu play for as a goalkeeper?;2024-12-01T00:00:00Z;2024-11-01T00:00:00Z;Mynavi Sendai;JEF United Chiba
450;35788918;Good (play);What nationality is the playwright Cecil Philip Taylor who wrote the play Good?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;Scottish;British
451;1588220;Caloundra;What is the population of Caloundra?;2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;96,305 people;3,932 people
452;59915285;List of All Elite Wrestling pay-per-view events;Which event is used as the reference point for the eleven wrestlers with the most matches?;2024-12-01T00:00:00Z;2024-11-01T00:00:00Z;Full Gear 2024;WrestleDream 2024
453;22025826;May 2023 lunar eclipse;What was the magnitude of the deepest penumbral eclipse since February 2017 and until September 2042?;2024-12-01T00:00:00Z;2024-11-01T00:00:00Z;–0.0438;–0.0457
454;66513276;DeVante' Jones;Which team does DeVante' Jones play for?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;Cedevita Olimpija;Le Mans
455;68329972;Nicholas W. Brown (lawyer);"In what year was Nicholas Brown cast on the second season of ""Survivor""?";2024-12-01T00:00:00Z;2024-11-01T00:00:00Z;2000;2001
456;360245;The Sun Also Rises;Who are the men that want Brett and are experiencing jealous tension?;2024-07-01T00:00:00Z;2024-06-01T00:00:00Z;Jake, Mike, Cohn, and Romero;Jake, Mike, Robert, and Romero
457;36598922;Andrija Stipanović;Which team does Andrija Stipanović play for?;2024-12-01T00:00:00Z;"2024-09-01T00:00:00Z;2024-10-01T00:00:00Z";Cedevita Olimpija;"U-BT Cluj-Napoca;Lietkabelis Panevėžys"
458;40379998;Marko Gudurić;What type of field goal did Gudurić shoot 47.7% from?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;three-point territory;three-point field goal
459;38548639;Nick Tropeano;What team does Nicholas Paul Tropeano currently play for?;2024-07-01T00:00:00Z;2024-06-01T00:00:00Z;Long Island Ducks;No team (free agent)
460;21844542;Jackky Bhagnani;What degree did Jackky Bhagnani get from H.R. College?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;A degree in Humanities;A degree in commerce
461;77928362;Tropical Storm Pulasan;How many people were killed by the floods?;2024-12-01T00:00:00Z;2024-11-01T00:00:00Z;16;14
462;28679;Sumatra;What is the area of Sumatra, including adjacent islands?;2024-07-01T00:00:00Z;2024-06-01T00:00:00Z;482,286.55 km2;475,807.63 km2
463;69859019;Dimitrios Keramitsis;Which club does Dimitrios Keramitsis play for?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;Pogoń Szczecin;Roma
464;423389;List of NHL franchise post-season droughts;How many seasons has the Winnipeg Jets/Arizona Coyotes franchise been without reaching the Stanley Cup Finals?;2024-07-01T00:00:00Z;2024-06-01T00:00:00Z;43 seasons;42 seasons
465;26930251;Ōtorohanga District;What was the median income in Ōtorohanga District?;2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;$38,000;$30,200
466;93576;Interstate 69;Which state has suspended work on I-69 indefinitely due to a lack of funding to build the highway outside of the Memphis metropolitan area?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;Tennessee;Mississippi
467;20570214;Lynge, Allerød Municipality;What is the population of the small urban area formed by Lynge and the neighbouring village of Uggeløse?;2024-07-01T00:00:00Z;2024-06-01T00:00:00Z;4,123;4,162
468;76403400;Hot Girl Summer Tour;Where will the Hot Girl Summer Tour conclude?;2024-07-01T00:00:00Z;2024-06-01T00:00:00Z;Chicago at the Lollapalooza festival;Washington, D.C. at the Broccoli City Festival
469;5220913;Zhivko Milanov;Which football club is Zhivko Milanov currently an assistant manager of?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;Levski Sofia;Botev Plovdiv
